A:Copper,1000,1,6,.25;Silver,1000,1,6,.30;Electrum,1000,1,4,.20;Gold,1000,2,12,.35;Platinum,1000,1,2,.25;Jewelry,1,6,36,.50;Gems,1,6,36,.50
B:Copper,1000,1,8,.50;Silver,1000,1,6,.25;Electrum,1000,1,4,.25;Gold,1000,1,3,.25;Platinum,0,0,0,.00;Jewelry,1,1,6,.25;Gems,1,1,6,.25
C:Copper,1000,1,12,.20;Silver,1000,1,4,.30;Electrum,1000,1,4,.10;Gold,0,0,0,.00;Platinum,0,0,0,.00;Jewelry,1,1,4,.25;Gems,1,1,4,.25
D:Copper,1000,1,8,.10;Silver,1000,1,12,.15;Electrum,0,0,0,.00;Gold,1000,1,6,.60;Platinum,0,0,0,.00;Jewelry,1,1,8,.30;Gems,1,1,8,.30
E:Copper,1000,1,10,.05;Silver,1000,1,12,.30;Electrum,1000,1,4,.25;Gold,1000,1,8,.25;Platinum,0,0,0,.00;Jewelry,1,1,10,.10;Gems,1,1,10,.10
F:Copper,0,0,0,.00;Silver,1000,2,20,.10;Electrum,1000,1,8,.20;Gold,1000,1,12,.45;Platinum,1000,1,3,.30;Jewelry,1,1,12,.10;Gems,1,2,24,.20
G:Copper,0,0,0,.00;Silver,0,0,0,.00;Electrum,0,0,0,.00;Gold,1000,10,40,.50;Platinum,1000,1,6,.50;Jewelry,1,1,10,.25;Gems,1,3,18,.25
H:Copper,1000,3,24,.25;Silver,1000,1,100,.50;Electrum,1000,10,40,.50;Gold,1000,10,60,.50;Platinum,1000,5,20,.25;Jewelry,1,10,40,.50;Gems,1,1,100,.50
I:Copper,0,0,0,.00;Silver,0,0,0,.00;Electrum,0,0,0,.00;Gold,0,0,0,.00;Platinum,1000,1,8,.30;Jewelry,1,2,12,.50;Gems,1,2,12,.50
J:Copper,1000,1,4,.25;Silver,1000,1,3,.10;Electrum,0,0,0,.00;Gold,0,0,0,.00;Platinum,0,0,0,.00;Jewelry,0,0,0,.00;Gems,0,0,0,.00
K:Copper,0,0,0,.00;Silver,1000,1,6,.30;Electrum,1000,1,2,.10;Gold,0,0,0,.00;Platinum,0,0,0,.00;Jewelry,0,0,0,.00;Gems,0,0,0,.00
L:Copper,0,0,0,.00;Silver,0,0,0,.00;Electrum,0,0,0,.00;Gold,0,0,0,.00;Platinum,0,0,0,.00;Jewelry,0,0,0,.00;Gems,1,1,4,.50
M:Copper,0,0,0,.00;Silver,0,0,0,.00;Electrum,0,0,0,.00;Gold,1000,2,8,.40;Platinum,1000,5,30,.50;Jewelry,1,2,12,.45;Gems,1,5,20,.55
N:Copper,0,0,0,.00;Silver,0,0,0,.00;Electrum,0,0,0,.00;Gold,0,0,0,.00;Platinum,0,0,0,.00;Jewelry,0,0,0,.00;Gems,0,0,0,.00
O:Copper,0,0,0,.00;Silver,0,0,0,.00;Electrum,0,0,0,.00;Gold,0,0,0,.00;Platinum,0,0,0,.00;Jewelry,0,0,0,.00;Gems,0,0,0,.00
P:Copper,1,3,24,1.00;Silver,0,0,0,.00;Electrum,0,0,0,.00;Gold,0,0,0,.00;Platinum,0,0,0,.00;Jewelry,0,0,0,.00;Gems,0,0,0,.00
Q:Copper,0,0,0,.00;Silver,1,3,18,1.00;Electrum,0,0,0,.00;Gold,0,0,0,.00;Platinum,0,0,0,.00;Jewelry,0,0,0,.00;Gems,0,0,0,.00
R:Copper,0,0,0,.00;Silver,0,0,0,.00;Electrum,1,2,12,1.00;Gold,0,0,0,.00;Platinum,0,0,0,.00;Jewelry,0,0,0,.00;Gems,0,0,0,.00
S:Copper,0,0,0,.00;Silver,0,0,0,.00;Electrum,0,0,0,.00;Gold,1,2,8,1.00;Platinum,0,0,0,.00;Jewelry,0,0,0,.00;Gems,0,0,0,.00
T:Copper,0,0,0,.00;Silver,0,0,0,.00;Electrum,0,0,0,.00;Gold,0,0,0,.00;Platinum,1,1,6,1.00;Jewelry,0,0,0,.00;Gems,0,0,0,.00
U:Copper,1,1,100,.10;Silver,1,1,100,.10;Electrum,0,0,0,.00;Gold,1,1,100,.05;Platinum,0,0,0,.00;Jewelry,1,1,4,.05;Gems,0,0,0,.00
V:Copper,0,0,0,.00;Silver,1,1,100,.10;Electrum,1,1,100,.05;Gold,1,1,100,.10;Platinum,1,1,100,.05;Jewelry,1,1,4,.10;Gems,0,0,0,.00
